id,gia,tieu_de,mo_ta_chi_tiet,thuong_hieu,dong_xe,nam_dang_ky,so_km_da_di,tinh_trang,loai_xe,dung_tich_xe,xuat_xu
1,66.0,Bán Vespa Sprint 125cc 2024 xanh dương xe đẹp 95,Bán xe Vespa Sprint 125cc Mua mới tại Topcom 01 2024 Xe chính chủ Chạy được 14 000km Giá 66tr TL Anh chị quan tâm nhắn Zalo số Công chứng Hợp đồng mua bán trong ngày,Piaggio,Vespa,2024.0,14000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật
2,79.5,SH 150i Thắng ABS 2019 BSTP Chính Chủ,Bán SH 150i Thắng ABS 2019 Xám Bạc Úp Team Xám Xi Măng Xe nhà sử dụng kỹ ít đi chính chủ biển số thành phố Xe mới keng Máy móc nguyên zin êm bốc ae qua xe xem test thoải mái Mua bán tại nhà sang tên ký giấy 1 nốt nhạc Xem Xe Tại Nhà Tân Sơn Nhì P Tân Sơn Nhì Q Tân Phú,Honda,SH,2019.0,28000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật
3,37.0,CC Vision Thể Thao 2023 Đen bộ đèn Demi audi A7,Chính chủ bán Vision phiên bản Thể Thao 2023 Đen Xe mua chính hãng tháng 10 2023 bảo dưỡng đầy đủ xe gia đình đi giữ gìn Xe đã độ lên đèn Demi led audi A7 và Đèn hậu led audi A7 giá thị trường 5tr còn nguyên đèn mới zin theo xe Liên hệ chính chủ 09xau xau 5 7 năm 3 sáu 7,Honda,Vision,2023.0,12000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật
4,45.0,Vespa Sprint 2019 125 Đen Đỏ Sport CHÍNH CHỦ,XE CÁ NHÂN BÁN XE DO EM ĐỨNG TÊN CHÍNH CHỦ Chi Tiết hình ảnh xe đã có đủ Cần thì liên hệ em Sản phẩm theo xe zin còn Kính Bao tay cảng sau Chìa khóa còn đủ CÓ FIX THÊM CHO ANH CHỊ VỀ SƠN DẬM LẠI Xem xe chi tiết Quận 1 liên hệ trao đổi qua GIÀLÔ Không 933940 bốn ba hai,Piaggio,Vespa,2019.0,60000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật
5,23.0,Xe tay ga Yamaha Latte 125 Đăng ký 2021,Thông tin xe Dòng xe tay ga cao cấp Yamaha Latte 125 máy mạnh tiết kiệm xăng Màu đen nhám phối yên nâu Xe thuộc phiên bản cao cấp có hệ thống Stop Start System giúp tiết kiệm nhiên liệu và giảm khí thải Odo hiện tại hơn 24 000 km bảo dưỡng đều máy móc vẫn rất ổn định Đăng ký lần đầu tháng 3 2021 Máy zin đề nhạy vận hành êm Cốp xe rộng tiện để nón túi xách Bánh còn tốt phanh an toàn đèn đóm đầy đủ Quận 1 TP HCM xem xe trực tiếp tại nhà theo hẹn Giá bán 23 triệu,Yamaha,Latte,2021.0,24000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản
6,7.5,Xe hoc sinh di hoc nay có bằng lái muốn bán lại,Xe cup 50cc không cần bằng lái chay im không hao xăng đề 1 cái chạy,SYM,Elegant,2018.0,25000.0,Đã sử dụng,Xe số,Dưới 50 cc,Đang cập nhật
7,16.0,xe Air Blade 2013,Xe Air Blade 2013 BST số km 80 000 xe mới fix giá cả thương lượng thêm,Honda,Air Blade,2013.0,80000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam
8,7.3,Bán Xe Wave HQ up dàn áo leng keng,Cục máy làm chạy nhẹ xe dàn áo còn keng bstp bao tranh chấp gtdd 09c giá 7tr3 fix xăng cộ ae xem xe Cô dì chú bán ae ưng ý thì kb zalo eml,Honda,Wave,2003.0,2.0,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật
9,7.5,cần bán xe để đối xe nên để giá yêu thương,Xe chính chủ xe chạy còn ngon máy mạnh bị bể bửng trước LH,Yamaha,Sirius,2015.0,35000.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam
10,33.0,Xe honda Lead 2020 BSTP bản giới hạn đèn Led,Mình đi xuất cảnh định cư nên cần bán chiếc xe honda LEAD 2020 BSTP xe nhà ít đi bảo dưỡng đầy đủ nên xe còn rất mới zin từ trong ra ngoài nước sơn zin ko dặm tút máy móc zin êm chạy rất mạnh và nhẹ ga xe này mua về là đi thôi ko phải làm gì hết xe sài smakey còn đủ 2 kính xe màu đỏ đô tới xem xe phát hiện ra chổ nào ko zin hoặc dậm tút tặng luôn xe mình là nguoi dùng bán chứ ko phải cò lái giấy tờ hợp pháp mua bán ra phòng công chứng công chứng sang tên luôn,Honda,Lead,2020.0,20000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam
11,19.9,Bán gấp Kawasaki gpz400 1973,Xe zin keng rất đẹp có giá trị trưng bày và sưu tầm cao xem xe ở q1 hcm,Kawasaki,Dòng khác,1980.0,99000.0,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nhật Bản
12,100.0,SH Ý Zin,Ai có nhu cầu mua xe liên hệ sdt Xem xe trực tiếp quận 1 hcm,Honda,SH,2005.0,8000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác
13,14.8,Bán xe Wolf 125cc,Tình trạng đồ zin còn 80 có độ cafe nhẹ Máy êm mạnh nổ thì thầm Hệ thống đèn còi xi nhan còn hoạt động tốt Biển số tp dễ nhìn Chia sẽ cho AE cùng đam mê Xem xe Quận 1 hoặc Tân Bình buổi tối Cảm ơn chợ tốt đã duyệt tin,SYM,Wolf,2016.0,10000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đài Loan
14,18.5,Ex zin 2014 xuống áo Ngay chủ,Ex 2014 máy zin nhẹ xe xuống áo chuẩn bstp xe ngay mình đứng tên Ae mau lẹ bớt lộc lh 177 ky con phuong nguyên Thái Bình q 1 Bạn nào có ab hoac lead trao đổi bù trừ tuy theo đời xe nhé,Yamaha,Exciter,2014.0,20000.0,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản
15,37.0,siêu lướt như mới dính pháp lý hôn nhân,Vario 160 2024 Xe nhà ít đi siêu lướt siêu mới Dính pháp lý hôn nhân chính chủ ghi giấy tay kèm cccd,Honda,Vario,2024.0,900.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam
16,6.0,Xe Vespa paggio xanh,Cần bán xe vespa xanh ngọc như hình tại quận 1,Hãng khác,Dòng khác,2001.0,300000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật
17,11.0,Bán xe ab đầu bò đen nhám,Dư xe cần bán có fix mọi chức năng hoạt động bình thường Khung sườn keng nội thất ko hoen rỉ mục nát đinh tán còn sơn phết Có chống trộm chỉ có dàn áo trầy nhẹ theo năm tháng miễn trung gian Xe biển TP mua bán công chứng giữa người mua bán giao cà vẹt,Honda,Air Blade,2023.0,70000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản
18,83.0,bán cup125 xe như mới đầy đủ phụ kiện theo xe mới,bán cup125 xe như mới đầy đủ phụ kiện theo xe mới lấy xe đen mới mua đưa qua Do đổi xe đen nên nhượng lại xe xanh chỉ để dành đi học Cavet chính chủ bso đẹp có thể uỷ quyền cho khách đi thoải mái fix nhẹ cho ae chung đam mê cup125,Honda,Cub,2022.0,8600.0,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan
19,33.0,Vario đen,bán xe như ảnh chính chủ uỷ quyền Lần 2 mua về chỉ đổ xăng là đi nhớt lọc gió mới thay lọc gió K N bớt 500k cho người thiện chí mua lưu ý mấy a cò vạc khướu tu hú có thấy tin e đăng thì đừng trả giá dìm e chỉ bớt 500k cho người thiện chí mua sử dụng còn trả dưới giá e k bán đỡ mất thời gian đôi bên,Honda,Vario,2019.0,27000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam
20,30.0,Cần bán xe vespa cũ 3vie 125 đời 2016 màu trắng,Xe còn chạy tốt do ít sử dụng nên bán lại Khách thiện chí có thể thương lượng được giá tốt,Piaggio,Vespa,2016.0,23000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác
21,65.0,Bán nhanh lẹ,Hàng quốc dân anh em ai cũng thích Dễ chơi dễ trải nghiệm SH150 ý đời 2008 dọn full fom ý anh em nhìn hình đánh giá em bán nhanh gọn lẹ 6xxx tiểu học anh em dễ chơi Công chúng mua bán nhanh gọn lẹ sau khi giao dịch thành công em ở Q1 em Khanh lubu 9 tuổi,Honda,SH,2008.0,38000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác
22,29.9,Honda Vision 2022 mới 99 màu xanh đen nhám,Honda vision Đời 2022 Giá 29 tr 900k Hãng xe honda Đăng kí Bao rút hồ sơ đảm bảo giấy tờ sang tên thoải mái Dung tích 110cc phun xăng điện tử FI Màu XANH ĐEN Cam kết động cơ và máy nguyên zin xe không đâm đụng không ngập nước,Honda,Vision,2022.0,2642.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam
23,9.0,Wave S giá thương lượng,Xe nhà ít dùng nên bán Lốp xe mới ngoại hình còn mới máy chạy êm Giá thương lượng cho khách thiện chí,Honda,Wave,2015.0,450000.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam
24,15.0,Do đổi xe cần sang xe,Bán xe wave RSX fi 2014 cần bán giữ kỹ chạy ít cho ai có nhu cầu cần thiết sử dụng nhanh gọn bớt chút lộc cho ai tới sớm,Honda,Wave,2014.0,6000.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam
25,31.999,honda CBR150,Cần bán cbr150 năm 2019 Xe ít đi Anh chị nào quan tâm xin liên lạc xem xe Xin cảm ơn anh chị đã đọc tin,Honda,CBR,2019.0,9999.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác
26,350.0,Không có nhu cầu chạy xe nhượng lại cho anh em cân,Xe Ít đi anh em xem xe thì nhắn tin cho tôi trước Xem xe ở Vinhomes Central Park Bình Thạnh HCM,KTM,1290 Super Duke R,2014.0,13000.0,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nước khác
27,19.0,Bán xe Winner X 2019,Kẹt tiền cần bán gấp xe mua cho con chạy mà giờ nhóc đi làm nước ngoài ko ai chạy em cần bán lại Xe còn mới 90 bao tranh chấp,Honda,Winner X,2019.0,5000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam
28,7.0,Bán xe tay ga Honda SCR đời đầu 2010 còn chạy tốt,Bán xe tay ga Honda SCR đời đầu 2010 còn chạy tốt xe nữ đi nên máy còn chạy rất êm Lh,Honda,SCR,2010.0,15000.0,Đã sử dụng,Tay ga,100 - 175 cc,Trung Quốc
29,4.3,Cần bán hayate máy êm bstp,Xe bao tranh chấp Máy êm Biển thành phố Mua về là sử dụng Thích hợp cho anh em đi làm Giao dịch trực tiếp quận 5 tphcm,Suzuki,Hayate,2011.0,55000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản
30,32.0,cần bán Ex155 chính chủ bstp,Xe Bstp sang tên hay uỷ quyền đều được Xem xe tại q 1 Lh sdt zalo,Yamaha,Exciter,2022.0,48364.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản
31,12.5,ban xe,Xe nhà đang đi đời 2018 chính chủ máy nguyên zin giá 12trieu500,Honda,Wave,2018.0,30000.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam
32,87.0,SH150i 2022 ABS CHÍNH CHỦ CẦN BÁN,BÁN XE SH 150i ABS XE CHÍNH CHỦ ĐỎ ĐẸP NHƯ MỚI BIỂN SỐ THÀNH PHỐ Giá 87 000 000đ Xe tại Vũng Tàu Thông tin xe Dòng xe Honda SH 150i ABS Màu Đỏ đô sang trọng Đăng ký Tháng 11 2022 Odo 9 500 km Biển số thành phố Tình trạng Xe chính chủ đi rất ít giữ kỹ như mới chưa từng ngập nước hay đâm đụng Máy móc zin nguyên bản 100 Xe phù hợp cho anh chị cần một chiếc tay ga cao cấp đi êm kiểu dáng sang trọng giá hợp lý so với xe mới,Honda,SH,2022.0,9500.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam
33,43.0,Cần bán xe Vespa Primaria 2019 iget,Xe nữ đi lại máy còn mới biển số sài gòn đẹp,Hãng khác,Dòng khác,2019.0,5000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác
34,3.2,Giao dịch tận nhà Cần giấy tay thì thì manb giấy,Xe cũ Ko chạy đã lâu Giấy tờ đầy đủ Cần giấy tay thì mang giấy và viết,SYM,Attila,2009.0,10000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản
35,21.0,Xe nha ich su dung tinh trang xe hoan hao,Xe piaggio tât ca ðêu hoat ðông rât tôt xe không thây phu tung tât ca chinh hang,Piaggio,Zip,2019.0,8000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam
36,70.0,Cần bán xe Sh 150i VN thắng cbs màu đen nhám,Xe nhà đi kỹ có trầy theo năm tháng Xe chính chủ ko phải cửa hàng mua bán hay trung gian Mẫu 2019 đăng ký t1 2020 chiếc cuối cùng ở Sg xe màu đen nhám Máy móc chưa bung Xe vừa thay ngớt dây coro bình nước mát Xem xe tại quận 7 Ko bán cho Ac cửa hàng hay mô giới Xe chính chủ đăng ký,Honda,SH,2020.0,52000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản
37,10.8,giấy tờ đầy đủ biển 70,Ngoại hình đẹp Áo new tem 110 Phuộc Nice Cdn nhôm Võ mới Rổ Thái Choá bọng full mới Máy móc êm nhẹ full chức năng giấy tờ đầy đủ biển 7,Honda,Wave,2024.0,500.0,Đã sử dụng,Xe số,50 - 100 cc,Trung Quốc
38,35.5,R15 v3 Đen nhám,Tình hình là lên cc nên nhượng lại đam mê cho anh em chơi Xe mình bảo dưỡng định kỳ 3 tháng lần thay dầu 1 5k km bình Mới vào 1 số đồ chơi Phuộc Nitro bình dầu Chống đổ sườn Pô lon SC có gắn tiêu Trợ lực fullpass CNC vàng Đèn bi cầu trợ sáng Kenzo Chắn bùn Giá đỡ điện thoại Gương cánh gió xi nhan tặng thêm cặp kính zin Túi đựng đồ pat trên bình xăng Bắng này đồ chơi găn thêm cộng bảo dưỡng thường xuyên nên anh em đừng ép giá nhé,Yamaha,R,2019.0,20000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam
39,49.0,CHÍNH CHỦ BÁN XE CHÍNH HANG XE PHÁP,Hãng xe Pháp nổi tiếng hình Sư tử PeuGeot Xe đăng ký năm 2021 2022 và 2023 dính Covid nên xe chạy rất ít và Nữ chạy cẩn thânh nên còn rất mới máy móc zin Thời gian sử dụng thực tế chưa tới 2 năm Giấy tờ Chính Chủ,Peugeot,Django,2021.0,1363.0,Đã sử dụng,Tay ga,50 - 100 cc,Nước khác
40,64.999999,Click Thái 125 Trắng 2015,Xe gốc Phú Nhuận chủ chạy kỹ ngoại hình đẹp tưng máy móc chưa chỉnh sửa ODO 25k km ko tua Máy móc phanh nhớt đã được kiểm tra vệ sinh bảo dưỡng Bao công chứng giấy tờ hợp lệ Liên hệ a Nhựt Nguyễn Cư Trinh SDT,Honda,Click,2015.0,25000.0,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan
41,11.5,BÁN XE NHÀ,Do mới mua xe mới nên em cho ra đi bé này Lead 110 cuối 2012 đá chống tắt máy Ngoại hình đẹp lung linh Máy móc bao êm Chính chủ ký giấy Xe em chạy hàng ngày nên anh chị em yên tâm dư dùng em mới bán nhà gần Chùa ko nói dóc Anh chị em cần xe Ib hoặc alo mua liền bớt lộc chút đỉnh,Honda,Lead,2012.0,50000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam
42,23.0,honda future 2022,Xe mình đang đứng ủy quyền Date cao 2022 Nhận giao lưu với xe ga cho vợ mình Xem xe tại quận 1 sau giờ hành Chánh,Honda,Dòng khác,2022.0,120000.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam
43,12.8,Wave 2018,Hàng về anh chị nào cần xe đi làm đi cày bừa hú em Wave 2018 Bstp chính chủ Máy móc nguyên êm zin Dá 12tr800 Bớt lộc Call,Honda,@,2018.0,1.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam
44,4.3,xe nhà đi ko dùng nữa ai cần ib ạ,có trầy theo năm tháng máy móc êm chạy thoải mái về quê bình thường,SYM,Attila,2004.0,40000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật
45,45.0,Airblade 2020 62 2,Airblade 150 2020 62 2 cần bán Full máy 62 2 Dên lightspeed Lòng redleo 62 Full Aracer Mini 5 Af2 Sensor 4 9 Autotune cực nhạy Pô zin móc Lọc gió DNA Nồi canh theo bài Đầu zin làm lên Cam BRT Họng Gió BRT Co gió Intake Kim phun BRT Pô arka g310 Mâm rcb sơn màu vàng cát Bộ mạch tăng sáng demi đổi màu auto passing chỉnh trên app đt Yên xe tấn tài Cặp vỏ michelin gp mới thay Máy móc hoạt động hoàn hảo do mới bảo trì Bs tp dễ nhìn Dá ra đi 4x x có như không nếu nhiệt tình Xe công chứng 1 nốt nhạc do ngay chủ đầu tiên Ae có nhu cầu xin liên hệ,Honda,Air Blade,2020.0,80000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam
46,22.5,visino đỏ nâu đk 2019,Ban vision đỏ nâu dk lần đầu 2019 khóa Smartkey bs tphcm máy zin áo có trầy nhẹ ace nào thích alo mình để hổ trợ giá tốt e k nhận tn cam on ace da xem bai ak,Honda,Vision,2019.0,46000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam
47,10.8,Xe nhà dư cần bán ab 2009 fi,Xe nhà dư cần bán xe ab 2009 fi phun xăng điện tử tiết kiệm xăng Máy êm áo đẹp mua về chỉ sử dụng ko làm gì hết BSTP GTĐĐ ko chính chủ bán bao tranh chấp tại nhà xem xe q1 bớt ít thôi nhé,Honda,Air Blade,2009.0,51000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam
