,thuong_hieu,dong_xe,nam_dang_ky,so_km_da_di,tinh_trang,loai_xe,dung_tich_xe,xuat_xu,gia_actual,gia_pred,residual,residual_z,outside_p10p90,p10,p90,iso_score_raw,iso_flag,lof_flag,lof_score_raw,dbscan_flag,resid_flag_cheap,resid_flag_expensive,resid_score_raw,resid_score,iso_score,lof_score,p10p90_score,anomaly_score,anomaly_flag
2429,Yamaha,Mio,2012.0,123456.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,5.999999999999999,5.1274786,0.8725214004516593,-0.08144058582412772,0,4.700000000000001,65.99999999999997,-0.029601027941688673,0,0,1.0255658882180962,1,0,0,0.08144058582412772,0.3445525676088252,37.49705491824873,4.553382324393407,0,15.07491896647805,0
3710,Yamaha,Janus,2017.0,30.0,Đã sử dụng,Tay ga,Đang cập nhật,Đang cập nhật,17.999999999999996,13.751109,4.248890876770016,0.015150346261279575,0,4.700000000000001,65.99999999999997,-0.005274968047650597,0,0,1.1995057768060147,1,0,0,0.015150346261279575,0.06406194154145271,60.77311537623818,12.412626870702912,0,26.834865485415328,0
6640,Honda,SH Mode,2024.0,1525.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,65.49999999999999,63.19806,2.301940917968736,-0.04054785636828628,0,4.700000000000001,65.99999999999997,-0.04363428519609125,0,0,1.2684723843676715,0,0,0,0.04054785636828628,0.1715251753062495,24.06952305740482,15.528792108916521,0,12.056191189837744,0
2559,Honda,Dream,1993.0,38000.0,Đã sử dụng,Xe số,50 - 100 cc,Thái Lan,47.00000000000001,20.358295,26.64170455932618,0.6557623292754923,0,4.700000000000001,65.99999999999997,0.007142741649999673,1,0,1.0227126239833677,0,0,0,0.6557623292754923,2.774651877056197,72.65483247022213,4.424461341644614,0,31.472404427062248,0
3292,Yamaha,Freego,2019.0,37800.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,19.5,19.51155,-0.0115509033203125,-0.10673206190551389,0,4.700000000000001,65.99999999999997,-0.04384615665549069,0,0,1.149617495077072,1,0,0,0.10673206190551389,0.4515671448228706,23.86679672524149,10.158490632684309,0,10.76388934263609,0
5945,Honda,Winner,2020.0,50000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,16.0,16.258532,-0.2585315704345703,-0.11379766684329307,0,4.700000000000001,65.99999999999997,-0.03691618129708779,0,0,1.2958885993387972,0,0,0,0.11379766684329307,0.48146349103630476,30.49764965075351,16.76755763729248,0,15.296822163600975,0
7201,Honda,Future,2013.0,38000.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,12.0,16.502838,-4.502838134765625,-0.23521847993273537,0,4.700000000000001,65.99999999999997,-0.040542834314757414,0,0,1.026689771447398,0,0,0,0.23521847993273537,0.9952253978518336,27.02753590166599,4.604163506399934,0,11.014975921292532,0
242,Honda,SH,2016.0,66000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,52.00000000000001,50.73499,1.2650108337402415,-0.07021227670069728,0,4.700000000000001,65.99999999999997,-0.06364542372128001,0,0,0.9956866767104545,0,0,0,0.07021227670069728,0.29704277617530517,4.922136584856883,3.203329544689764,0,0.8211938282405551,0
5788,Honda,Wave,2024.0,29000.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,25.000000000000004,17.570736,7.429264068603519,0.1061342309140961,0,4.700000000000001,65.99999999999997,-0.0405541642482799,0,0,1.258127495777043,0,0,0,0.1061342309140961,0.4490375719902626,27.016695008450927,15.061371956482757,0,13.358032923056557,0
4830,Honda,SH,2022.0,25000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,81.00000000000001,73.583565,7.416435241699233,0.10576722476831181,1,4.700000000000001,65.99999999999997,-0.0634980650263065,0,0,1.0285224303785385,0,0,0,0.10576722476831181,0.44748467695955435,5.063134753411687,4.686969784055631,100,26.91642857287283,0
4791,SYM,Angela,2008.0,9999.0,Đã sử dụng,Xe số,100 - 175 cc,Đài Loan,1.5,4.49328,-2.9932799339294434,-0.19203314886081418,1,4.700000000000001,65.99999999999997,-0.01704733050502044,0,0,1.081038471102319,1,0,0,0.19203314886081418,0.8124974332348736,49.508890035813764,7.059837847861027,100,46.67923532792742,0
1679,Honda,Lead,2020.0,27000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,30.0,28.345037,1.6549625396728516,-0.05905656669664974,0,4.700000000000001,65.99999999999997,-0.05579408432086708,0,0,0.9888191351566252,0,0,0,0.05905656669664974,0.24984016982034168,12.434584196851574,2.893028733635687,0,3.914770259641497,0
681,Honda,Blade,2015.0,45367.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,9.5,8.61017,0.8898296356201172,-0.08094543309294684,0,4.700000000000001,65.99999999999997,-0.040821751840749765,0,0,1.2738813907164366,0,0,0,0.08094543309294684,0.3424574522421622,26.760657450076632,15.773190929638993,0,13.36733969033522,0
4770,Honda,Vision,2024.0,4200.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,35.99999999999999,35.97907,0.02093124389647727,-0.10580281500353494,0,4.700000000000001,65.99999999999997,-0.05122275079270966,0,0,0.9862054337191664,0,0,0,0.10580281500353494,0.447635268169142,16.80860267902689,2.774932080045806,0,5.8663473616105515,0
549,Honda,Dylan,2006.0,20000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,14.999999999999998,13.1437845,1.8562154769897443,-0.053299137322669755,0,4.700000000000001,65.99999999999997,-0.050283108215651906,0,1,1.6760506575638652,0,0,0,0.053299137322669755,0.22547904244629935,17.70768693384522,33.94467903868384,0,14.08581214825091,0
2899,Honda,Vario,2022.0,18000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,47.99999999999999,35.06132,12.938678741455071,0.26374716463722203,0,4.700000000000001,65.99999999999997,-0.05090797294902227,0,0,1.3949285950485426,0,0,0,0.26374716463722203,1.1159374164900167,17.109793589203793,21.242549270708984,0,11.114805569428409,0
1506,Honda,Wave,2003.0,100000.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,14.0,8.707948,5.292052268981934,0.04499303139866874,0,4.700000000000001,65.99999999999997,-0.04625910906770614,0,0,1.3399820380335616,0,0,0,0.04499303139866874,0.19033382550080702,21.557995938199806,18.75986153263906,0,11.823303883052562,0
2200,Honda,Dream,2023.0,28000.0,Đã sử dụng,Xe số,50 - 100 cc,Thái Lan,45.0,21.010883,23.989116668701172,0.5798772880822768,0,4.700000000000001,65.99999999999997,0.0016292367616125292,1,0,1.208136318934087,1,0,0,0.5798772880822768,2.4535632393653715,67.37931010135006,12.80258653839272,0,31.174912439344293,0
81,Honda,Lead,2020.0,180000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,29.5,26.687916,2.812084197998047,-0.025953714565752118,0,4.700000000000001,65.99999999999997,-0.05326320272842844,0,0,1.0364125207051378,0,0,0,0.025953714565752118,0.10977370181477339,14.856223920432623,5.043473113295556,0,5.412864238325674,0
6609,Honda,Dream,2000.0,10000.0,Đã sử dụng,Xe số,100 - 175 cc,Đài Loan,5.499999999999999,7.3048553,-1.8048553466796884,-0.15803478481896202,0,4.700000000000001,65.99999999999997,-0.022367670080658153,0,0,1.1203985973225339,1,0,0,0.15803478481896202,0.6686418297817515,44.41819527640771,8.838273259367684,0,19.312841082230676,0
3434,Yamaha,Grande,2015.0,42000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,1.4,15.046362,-13.646361923217773,-0.4967957425712785,1,4.700000000000001,65.99999999999997,-0.0458908892900764,0,0,0.993470318978433,1,0,0,0.4967957425712785,2.1020243873609035,21.910322037998558,3.1031863425785535,100,34.67713485523112,0
103,Honda,PCX,2010.0,100000.0,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,16.500000000000004,16.558073,-0.058073043823238635,-0.1080629639129227,0,4.700000000000001,65.99999999999997,-0.030772406534159802,0,0,1.1982240922039633,1,0,0,0.1080629639129227,0.4571985249438988,36.37623720028221,12.35471564171147,0,16.659031506008876,0
2758,Honda,SH,2015.0,20800.0,Đã sử dụng,Tay ga,Trên 175 cc,Nước khác,75.0,179.15999,-104.15998840332031,-3.086202977017901,1,4.700000000000001,65.99999999999997,-0.016599060945670596,0,1,2.1337257051234113,1,1,0,3.086202977017901,13.058455697957168,49.93781068347938,54.62412267128225,100,66.3275652341087,1
3641,Honda,Wave,2018.0,32000.0,Đã sử dụng,Xe số,100 - 175 cc,Nước khác,11.500000000000002,9.015827,2.4841728210449237,-0.03533457935660685,0,4.700000000000001,65.99999999999997,-0.038997911079388436,0,0,1.495530628094927,1,0,0,0.03533457935660685,0.1494664930249424,28.50577474453812,25.788119501816755,0,16.55623661105173,0
2537,Honda,Wave,2005.0,1000.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,29.800000000000008,14.999893,14.800106811523445,0.31699876330227644,0,4.700000000000001,65.99999999999997,-0.048765888099324195,0,0,1.2152447879373032,0,0,0,0.31699876330227644,1.3412582834404003,19.15941842301979,13.12377333861249,0,10.046913136910703,0
4721,Honda,Vario,2020.0,48000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,26.999999999999996,35.537296,-8.53729629516602,-0.35063596516529877,0,4.700000000000001,65.99999999999997,-0.04472185140845619,0,0,1.0101515838702693,0,0,0,0.35063596516529877,1.483585719152391,23.02890007853609,3.8569073044063673,0,9.411433791710989,0
3791,Honda,67,2012.0,12345.0,Đã sử dụng,Tay côn/Moto,Dưới 50 cc,Nhật Bản,55.00000000000002,25.80485,29.195150375366232,0.7288111212192673,0,4.700000000000001,65.99999999999997,-0.010675361468413747,0,0,1.1664695905346405,1,0,0,0.7288111212192673,3.0837396329746087,55.60582218095099,10.919930348404481,0,26.052814494754898,0
6580,Honda,Air Blade,2012.0,1234.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,10.499999999999998,10.817014,-0.31701374053955256,-0.11547072050653645,0,4.700000000000001,65.99999999999997,-0.058571276719502685,0,0,1.0764701235996699,0,0,0,0.11547072050653645,0.4885426006087259,9.777265319249292,6.853423088789275,0,3.9373967444082036,0
6662,Yamaha,Exciter,2019.0,10000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,17.999999999999996,24.49326,-6.493259429931644,-0.2921603073871077,0,4.700000000000001,65.99999999999997,-0.03305974569326908,0,0,1.0119955233088518,0,0,0,0.2921603073871077,1.23616054814579,34.18762775069343,3.940223276918789,0,14.039887533783071,0
2981,Honda,Air Blade,2013.0,20000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,15.5,13.292964,2.207036018371582,-0.043262888824259334,0,4.700000000000001,65.99999999999997,-0.0599166142713114,0,0,1.0310194511764004,0,0,0,0.043262888824259334,0.18301315843002627,8.489997330569478,4.799794376775188,0,2.6815956308929536,0
1216,Honda,Winner,2018.0,32000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,23.000000000000004,16.463514,6.536485671997074,0.08059369156294573,0,4.700000000000001,65.99999999999997,-0.03783544048239845,0,0,1.0953121583833028,0,0,0,0.08059369156294573,0.3409691456284808,29.61806896785397,7.704775589453844,0,12.521220486714284,0
6843,Honda,Wave,2011.0,800000.0,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,4.5,8.396568,-3.8965682983398438,-0.21787435660548368,1,4.700000000000001,65.99999999999997,0.0014523280017773033,1,0,1.0403715189628113,1,0,0,0.21787435660548368,0.9218380629631389,67.21003735404084,5.22235523008927,100,53.81717772317331,1
5920,Honda,Vision,2018.0,19000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,19.5,19.313787,0.18621253967285156,-0.10107445973101542,0,4.700000000000001,65.99999999999997,-0.05575304727224906,0,0,1.0128049735378923,0,0,0,0.10107445973101542,0.4276284113618051,12.473849940207101,3.9767972183518974,0,4.314637024965375,0
5778,Yamaha,Sirius,2016.0,66191.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,7.890000000000001,8.229395,-0.339394912719726,-0.11611099945029832,0,4.700000000000001,65.99999999999997,-0.03607224391256603,0,0,0.9956165924955199,0,0,0,0.11611099945029832,0.4912517813716534,31.30515969021125,3.2001628818358396,0,12.178088803237674,0
